accession,message,sample_name,sample_title,bioproject_accession,organism,isolate,geographic_location,collection_date,depth,env_broad_scale,env_local_scale,env_medium,geo_loc_me,isolation_source,lat_lon,chlorophyll,collection_method,conduc,diss_oxygen,nitrate,nitrite,ph,samp_collect_device,samp_store_temp,silicate,size_frac,soluble_react_phosp,source_material_id,sulfate,sulfide,suspend_part_matter,temp,tidal_stage,tot_depth_water_col,tot_diss_nitro,tot_nitro,tot_phosp,turbidity,water_current,description,completeness(%),contamition_(%),strain_heterogeneity_(%),size_(mbp),no._of_contigs,gc_content_(%),n50,file,derived_from
SAMN41711311,Successfully loaded,Dolichospermum sp._LV_2_7. Asembo Bay_2022_4,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,97.44,0.85,40,4.329799,369,37.1,18215,samp_4308_semibin_112,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711312,Successfully loaded,Dolichospermum sp._LV_5_9. Mid Gulf_2022,LV_5_samp_4311_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R1,99,2.85,83.33,5.000063,1240,36.8,19224,samp_4311_VAMB_728,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659674  (SRA SUB14491329)
SAMN41711313,Successfully loaded,Dolichospermum sp._LV_5_9. Mid Gulf_2022_1,LV_5_samp_4311_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R1,99,1.41,42.86,4.963826,658,37.1,19389,samp_4311_concoct_412,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659674  (SRA SUB14491329)
SAMN41711314,Successfully loaded,Dolichospermum sp._LV_5_9. Mid Gulf_2022_2,LV_5_samp_4311_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R1,96.22,0.22,0,4.010508,265,37.4,22523,samp_4311_maxbin_532,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659674  (SRA SUB14491329)
SAMN41711315,Successfully loaded,Dolichospermum sp._LV_5_9. Mid Gulf_2022_3,LV_5_samp_4311_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R1,97.11,0.74,25,4.228192,293,37,21733,samp_4311_metabat2_56,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659674  (SRA SUB14491329)
SAMN41711316,Successfully loaded,Dolichospermum sp._LV_5_9. Mid Gulf_2022_4,LV_5_samp_4311_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R1,96,0.3,0,4.053242,242,37,22523,samp_4311_metadecoder_629,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659674  (SRA SUB14491329)
SAMN41711317,Successfully loaded,Dolichospermum sp._LV_5_9. Mid Gulf_2022_5,LV_5_samp_4311_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R1,97.33,0.96,20,4.371571,323,37.1,21334,samp_4311_semibin_181,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659674  (SRA SUB14491329)
SAMN41711318,Successfully loaded,Dolichospermum sp._LV_6_9. Mid Gulf_2022,LV_6_samp_4312_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R2,98.89,2.07,72.73,4.976007,1333,36.7,19690,samp_4312_VAMB_820,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659675  (SRA SUB14491329)
SAMN41711319,Successfully loaded,Dolichospermum sp._LV_6_9. Mid Gulf_2022_1,LV_6_samp_4312_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R2,99.44,1.07,50,4.98812,675,37.1,20289,samp_4312_concoct_454,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659675  (SRA SUB14491329)
SAMN41711320,Successfully loaded,Dolichospermum sp._LV_6_9. Mid Gulf_2022_2,LV_6_samp_4312_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R2,97.78,0.63,25,4.14069,280,37.3,23516,samp_4312_maxbin_178,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659675  (SRA SUB14491329)
SAMN41711321,Successfully loaded,Dolichospermum sp._LV_6_9. Mid Gulf_2022_3,LV_6_samp_4312_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R2,98.44,0.52,0,4.248357,295,36.9,23208,samp_4312_metabat2_4,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659675  (SRA SUB14491329)
SAMN41711322,Successfully loaded,Dolichospermum sp._LV_6_9. Mid Gulf_2022_4,LV_6_samp_4312_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R2,97.88,0.45,0,4.114139,248,37,23516,samp_4312_metadecoder_625,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659675  (SRA SUB14491329)
SAMN41711323,Successfully loaded,Dolichospermum sp._LV_6_9. Mid Gulf_2022_5,LV_6_samp_4312_9. Mid Gulf_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2466_34.60327,33.86 (ug/L),Van dorn collection,144.7(uS/cm),7.17mg/L,32.1 (ug/L),,7.6,Van dorn,-80 degree C,,0.22 micron,43.5(ug/L),,,,,25degree C,,6.8m,,,,14.5NTU,,Site 18 Offshore R2,98.11,0.45,0,4.383509,319,37.2,23146,samp_4312_semibin_243,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659675  (SRA SUB14491329)
SAMN41711324,Successfully loaded,Microcystis panniformis_A_LV_9_5. Mbita East_2022,LV_9_samp_4315_5. Mbita East_2022,PRJNA1119566,Microcystis panniformis,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.4155_34.20972,24.61 (ug/L),Van dorn collection,108.7(uS/cm),8.05mg/L,20.9 (ug/L),,7.4,Van dorn,-80 degree C,,0.22 micron,40.7(ug/L),,,,,25.5degree C,,13m,,,,8.3NTU,,Site 12 PN Diatoms R1,92.91,5.74,60,4.230761,2568,43.5,2116,samp_4315_VAMB_280,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659678  (SRA SUB14491329)
SAMN41711325,Successfully loaded,Dolichospermum sp._LV_9_5. Mbita East_2022,LV_9_samp_4315_5. Mbita East_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.4155_34.20972,24.61 (ug/L),Van dorn collection,108.7(uS/cm),8.05mg/L,20.9 (ug/L),,7.4,Van dorn,-80 degree C,,0.22 micron,40.7(ug/L),,,,,25.5degree C,,13m,,,,8.3NTU,,Site 12 PN Diatoms R1,96.36,2.38,53.85,3.87358,1731,37.4,3273,samp_4315_VAMB_286,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659678  (SRA SUB14491329)
SAMN41711326,Successfully loaded,Dolichospermum sp._LV_9_5. Mbita East_2022_1,LV_9_samp_4315_5. Mbita East_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.4155_34.20972,24.61 (ug/L),Van dorn collection,108.7(uS/cm),8.05mg/L,20.9 (ug/L),,7.4,Van dorn,-80 degree C,,0.22 micron,40.7(ug/L),,,,,25.5degree C,,13m,,,,8.3NTU,,Site 12 PN Diatoms R1,95.09,1.49,55.56,3.688962,1297,37.8,3482,samp_4315_concoct_98,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659678  (SRA SUB14491329)
SAMN41711327,Successfully loaded,Dolichospermum sp._LV_11_1. Homa Bay_2022,LV_11_samp_4317_1. Homa Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.5216_34.45703,74.69 (ug/L),Van dorn collection,140.5(uS/cm),5.37mg/L,23.49477 (ug/L),0.124(umol/L),7.4,Van dorn,-80 degree C,129.186(umol/L),0.22 micron,42(ug/L),,,,,26.5degree C,,4.1m,,,ND,19.9NTU,,Site 9 R1,98.44,7.28,58.7,5.491225,1535,36.7,13426,samp_4317_VAMB_199,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659680  (SRA SUB14491329)
SAMN41711328,Successfully loaded,Microcystis panniformis_A_LV_11_1. Homa Bay_2022,LV_11_samp_4317_1. Homa Bay_2022,PRJNA1119566,Microcystis panniformis,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.5216_34.45703,74.69 (ug/L),Van dorn collection,140.5(uS/cm),5.37mg/L,23.49477 (ug/L),0.124(umol/L),7.4,Van dorn,-80 degree C,129.186(umol/L),0.22 micron,42(ug/L),,,,,26.5degree C,,4.1m,,,ND,19.9NTU,,Site 9 R1,98.03,1.57,66.67,5.734706,1178,42.3,11322,samp_4317_VAMB_212,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659680  (SRA SUB14491329)
SAMN41711329,Successfully loaded,Dolichospermum sp._LV_11_1. Homa Bay_2022_1,LV_11_samp_4317_1. Homa Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.5216_34.45703,74.69 (ug/L),Van dorn collection,140.5(uS/cm),5.37mg/L,23.49477 (ug/L),0.124(umol/L),7.4,Van dorn,-80 degree C,129.186(umol/L),0.22 micron,42(ug/L),,,,,26.5degree C,,4.1m,,,ND,19.9NTU,,Site 9 R1,97.77,2.3,33.33,4.48762,482,37,16552,samp_4317_concoct_68,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659680  (SRA SUB14491329)
SAMN41711330,Successfully loaded,Microcystis panniformis_A_LV_11_1. Homa Bay_2022_1,LV_11_samp_4317_1. Homa Bay_2022,PRJNA1119566,Microcystis panniformis,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.5216_34.45703,74.69 (ug/L),Van dorn collection,140.5(uS/cm),5.37mg/L,23.49477 (ug/L),0.124(umol/L),7.4,Van dorn,-80 degree C,129.186(umol/L),0.22 micron,42(ug/L),,,,,26.5degree C,,4.1m,,,ND,19.9NTU,,Site 9 R1,97.92,1.68,36.36,5.504763,693,42.6,11841,samp_4317_concoct_87,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659680  (SRA SUB14491329)
SAMN41711331,Successfully loaded,Dolichospermum sp._LV_11_1. Homa Bay_2022_2,LV_11_samp_4317_1. Homa Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.5216_34.45703,74.69 (ug/L),Van dorn collection,140.5(uS/cm),5.37mg/L,23.49477 (ug/L),0.124(umol/L),7.4,Van dorn,-80 degree C,129.186(umol/L),0.22 micron,42(ug/L),,,,,26.5degree C,,4.1m,,,ND,19.9NTU,,Site 9 R1,96.66,2.08,27.27,4.393427,409,37.4,17018,samp_4317_maxbin_23,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659680  (SRA SUB14491329)
SAMN41711332,Successfully loaded,Microcystis panniformis_A_LV_11_1. Homa Bay_2022_2,LV_11_samp_4317_1. Homa Bay_2022,PRJNA1119566,Microcystis panniformis,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.5216_34.45703,74.69 (ug/L),Van dorn collection,140.5(uS/cm),5.37mg/L,23.49477 (ug/L),0.124(umol/L),7.4,Van dorn,-80 degree C,129.186(umol/L),0.22 micron,42(ug/L),,,,,26.5degree C,,4.1m,,,ND,19.9NTU,,Site 9 R1,95.72,1.02,28.57,5.590858,687,42.5,11617,samp_4317_maxbin_26,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659680  (SRA SUB14491329)
SAMN41711333,Successfully loaded,Microcystis panniformis_A_LV_11_1. Homa Bay_2022_3,LV_11_samp_4317_1. Homa Bay_2022,PRJNA1119566,Microcystis panniformis,not_applicable,Kenya:Lake Victoria,2022-06-24T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.5216_34.45703,74.69 (ug/L),Van dorn collection,140.5(uS/cm),5.37mg/L,23.49477 (ug/L),0.124(umol/L),7.4,Van dorn,-80 degree C,129.186(umol/L),0.22 micron,42(ug/L),,,,,26.5degree C,,4.1m,,,ND,19.9NTU,,Site 9 R1,95.07,0.8,33.33,5.222033,588,42.6,12088,samp_4317_metabat2_4,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659680  (SRA SUB14491329)
