"","MAG","SampleID","Site","Domain_GTDB","Phylum_GTDB","Class_GTDB","Order_GTDB","Family_GTDB","Genus_GTDB","Species_GTDB","Completeness....","Contamination....","Strain.Heterogeneity....","Size..Mbp.","No..Of.Contigs","GC.Content....","N50","NCBI_Sample_Name","Domain_NCBI","Phylum_NCBI","Class_NCBI","Order_NCBI","Family_NCBI","Genus_NCBI","Species_NCBI","NCBI_Organism","BioProject","accession","year"
"21","samp_4308_semibin_103","samp_4308","7. Asembo Bay","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","Planktophila","",80.98,0.84,83.33,1.23669,184,48.1,8438,"Planktophila sp._LV_2_7. Asembo Bay_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711525",2022
"22","samp_4308_VAMB_734","samp_4308","7. Asembo Bay","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA3006","",76.35,24.03,46.51,1.762043,988,63.1,2251,"UBA3006 sp._LV_2_7. Asembo Bay_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711526",2022
"23","samp_4309_concoct_462","samp_4309","8. Ndere Island","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA966","",75.8,5.11,33.33,2.342216,1091,72.2,2314,"UBA966 sp._LV_3_8. Ndere Island_2022","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales",NA,NA,NA,"Phycisphaerales bacterium","PRJNA1119566","SAMN41711527",2022
"24","samp_4309_concoct_472","samp_4309","8. Ndere Island","Bacteria","Cyanobacteria","Cyanobacteriia","PCC-6307","Cyanobiaceae","NIES-981","",80.57,22.25,42.62,3.912325,2259,67.4,1716,"NIES-981 sp._LV_3_8. Ndere Island_2022","Bacteria","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Cyanobium",NA,"Cyanobium sp.","PRJNA1119566","SAMN41711528",2022
"25","samp_4309_concoct_483","samp_4309","8. Ndere Island","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","VGZA01","",83.79,3.45,33.33,4.630634,1507,58,3651,"VGZA01 sp._LV_3_8. Ndere Island_2022","Bacteria","Planctomycetota",NA,NA,NA,NA,NA,"Planctomycetota bacterium","PRJNA1119566","SAMN41711529",2022
"26","samp_4309_concoct_498","samp_4309","8. Ndere Island","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","F1-60-MAGs163","",84.27,6.17,64.29,1.842383,763,71.1,2683,"F1-60-MAGs163 sp._LV_3_8. Ndere Island_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711530",2022
"27","samp_4309_concoct_531","samp_4309","8. Ndere Island","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","70-9","67-14","",84.52,4.07,12.5,1.536476,536,66.8,3540,"67-14 sp._LV_3_8. Ndere Island_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711531",2022
"28","samp_4309_concoct_600","samp_4309","8. Ndere Island","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","AcAMD-5","ATZT02","",77.73,4.66,64.29,1.266327,369,35.4,4793,"ATZT02 sp._LV_3_8. Ndere Island_2022","Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA,NA,"Actinomycetes bacterium","PRJNA1119566","SAMN41711532",2022
"29","samp_4309_concoct_613","samp_4309","8. Ndere Island","Bacteria","Bacteroidota","Bacteroidia","UBA7662","UBA7662","SYHX01","",77.4,1.37,33.33,1.371526,415,51.8,4430,"SYHX01 sp._LV_3_8. Ndere Island_2022","Bacteria","Bacteroidota",NA,NA,NA,NA,NA,"Bacteroidota bacterium","PRJNA1119566","SAMN41711533",2022
"30","samp_4309_metabat2_175","samp_4309","8. Ndere Island","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","",79.06,16.81,90.91,1.773797,413,50,4799,"BACL27 sp._LV_3_8. Ndere Island_2022","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",NA,NA,"Acidimicrobiaceae bacterium","PRJNA1119566","SAMN41711534",2022
"31","samp_4309_metabat2_185","samp_4309","8. Ndere Island","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","MAG-120802","MAG-120802 sp016870835",84.05,8.73,87.5,0.938528,206,47.6,4982,"MAG-120802 sp016870835_LV_3_8. Ndere Island_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711535",2022
"32","samp_4309_metabat2_210","samp_4309","8. Ndere Island","Bacteria","Cyanobacteria","Cyanobacteriia","PCC-6307","Cyanobiaceae","Cyanobium","",75.32,1.55,88.89,1.883443,420,63.1,4950,"Cyanobium sp._LV_3_8. Ndere Island_2022","Bacteria","Cyanobacteriota",NA,NA,NA,NA,NA,"Cyanobacteriota bacterium","PRJNA1119566","SAMN41711536",2022
"33","samp_4309_VAMB_662","samp_4309","8. Ndere Island","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Dolichospermum","",81.21,7.96,25,3.267858,4214,37.6,918,"Dolichospermum sp._LV_3_8. Ndere Island_2022","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp.","PRJNA1119566","SAMN41711537",2022
"34","samp_4309_VAMB_733","samp_4309","8. Ndere Island","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","MAG-120802","",75,1.72,100,1.01523,177,46,9800,"MAG-120802 sp._LV_3_8. Ndere Island_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711538",2022
"35","samp_4310_concoct_629","samp_4310","8. Ndere Island","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","ER46","",75.28,2.08,16.67,3.216712,1264,72,2917,"ER46 sp._LV_4_8. Ndere Island_2022","Bacteria","Verrucomicrobiota",NA,NA,NA,NA,NA,"Verrucomicrobiota bacterium","PRJNA1119566","SAMN41711539",2022
"36","samp_4310_concoct_670","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA2093","",86.13,19.91,40,2.010823,924,67.4,2486,"UBA2093 sp._LV_4_8. Ndere Island_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711540",2022
"37","samp_4310_concoct_673","samp_4310","8. Ndere Island","Bacteria","Chloroflexota","Chloroflexia","Thermomicrobiales","UBA6265","CADCWF01","",82.79,0,0,4.163744,738,71.3,7642,"CADCWF01 sp._LV_4_8. Ndere Island_2022","Bacteria","Chloroflexota",NA,NA,NA,NA,NA,"Chloroflexota bacterium","PRJNA1119566","SAMN41711541",2022
"38","samp_4310_concoct_701","samp_4310","8. Ndere Island","Bacteria","Cyanobacteria","Cyanobacteriia","PCC-6307","Cyanobiaceae","","",86.1,1.96,54.55,2.395239,711,69.5,4075,"Cyanobiaceae bacterium_LV_4_8. Ndere Island_2022","Bacteria","Cyanobacteriota","Cyanophyceae","Synechococcales",NA,NA,NA,"Synechococcales bacterium","PRJNA1119566","SAMN41711542",2022
"39","samp_4310_concoct_729","samp_4310","8. Ndere Island","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","VGZA01","",80.78,4.2,16.67,4.523158,1630,57.9,3253,"VGZA01 sp._LV_4_8. Ndere Island_2022","Bacteria","Planctomycetota",NA,NA,NA,NA,NA,"Planctomycetota bacterium","PRJNA1119566","SAMN41711543",2022
"40","samp_4310_concoct_737","samp_4310","8. Ndere Island","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","ELB16-189","",79.02,4.4,17.39,2.47772,956,53,2996,"ELB16-189 sp._LV_4_8. Ndere Island_2022","Bacteria","Bacteroidota",NA,NA,NA,NA,NA,"Bacteroidota bacterium","PRJNA1119566","SAMN41711544",2022
"41","samp_4310_concoct_758","samp_4310","8. Ndere Island","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Pirellula_B","",75.71,1.35,33.33,4.538251,1477,52.6,3797,"Pirellula_B sp._LV_4_8. Ndere Island_2022","Bacteria","Planctomycetota",NA,NA,NA,NA,NA,"Planctomycetota bacterium","PRJNA1119566","SAMN41711545",2022
"42","samp_4310_concoct_780","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","AcAMD-5","ATZT02","",75.64,4.88,35.29,1.221693,474,35.5,3025,"ATZT02 sp._LV_4_8. Ndere Island_2022","Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA,NA,"Actinomycetes bacterium","PRJNA1119566","SAMN41711546",2022
"43","samp_4310_concoct_797","samp_4310","8. Ndere Island","Bacteria","Bacteroidota","Bacteroidia","UBA7662","UBA7662","SYHX01","",75.37,2.65,25,1.305464,399,51.9,4074,"SYHX01 sp._LV_4_8. Ndere Island_2022","Bacteria","Bacteroidota",NA,NA,NA,NA,NA,"Bacteroidota bacterium","PRJNA1119566","SAMN41711547",2022
"44","samp_4310_concoct_835","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","70-9","67-14","",86.25,1.98,57.14,1.653067,496,66.8,4163,"67-14 sp._LV_4_8. Ndere Island_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711548",2022
"45","samp_4310_maxbin_197","samp_4310","8. Ndere Island","Bacteria","Cyanobacteria","Cyanobacteriia","PCC-6307","Cyanobiaceae","Cyanobium","",78.9,19.51,48.48,3.084375,866,63.3,3532,"Cyanobium sp._LV_4_8. Ndere Island_2022","Bacteria","Cyanobacteriota",NA,NA,NA,NA,NA,"Cyanobacteriota bacterium","PRJNA1119566","SAMN41711549",2022
"46","samp_4310_metabat2_114","samp_4310","8. Ndere Island","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","JAFMJV01","",75.17,0,0,2.935493,372,74.6,10595,"JAFMJV01 sp._LV_4_8. Ndere Island_2022","Bacteria","Chloroflexota",NA,NA,NA,NA,NA,"Chloroflexota bacterium","PRJNA1119566","SAMN41711550",2022
"47","samp_4310_metabat2_121","samp_4310","8. Ndere Island","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA966","",75.29,2.11,33.33,2.103945,359,72.5,7191,"UBA966 sp._LV_4_8. Ndere Island_2022","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales",NA,NA,NA,"Phycisphaerales bacterium","PRJNA1119566","SAMN41711551",2022
"48","samp_4310_metabat2_157","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","PALSA-555","CAIUKV01","CAIUKV01 sp016870595",91.83,2.1,0,2.55041,387,73.9,8715,"CAIUKV01 sp016870595_LV_4_8. Ndere Island_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711552",2022
"49","samp_4310_metabat2_15","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","S36-B12","Mxb001","",86.85,1.26,0,2.714884,411,71.3,8683,"Mxb001 sp._LV_4_8. Ndere Island_2022","Bacteria",NA,NA,NA,NA,NA,NA,"Unknown NA","PRJNA1119566","SAMN41711553",2022
"50","samp_4310_metabat2_16","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","",76.23,19.09,92.59,1.761121,395,50.1,5088,"BACL27 sp._LV_4_8. Ndere Island_2022","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",NA,NA,"Acidimicrobiaceae bacterium","PRJNA1119566","SAMN41711554",2022
"51","samp_4310_metabat2_33","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","Nanopelagicus","Nanopelagicus sp016870895",76.02,0,0,0.975059,93,40.8,17485,"Nanopelagicus sp016870895_LV_4_8. Ndere Island_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711555",2022
"52","samp_4310_metadecoder_546","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","",89.91,0.85,0,1.680211,125,73,16271,"BACL27 sp._LV_4_8. Ndere Island_2022_1","Bacteria","Actinomycetota","Acidimicrobiia",NA,NA,NA,NA,"Acidimicrobiia bacterium","PRJNA1119566","SAMN41711556",2022
"53","samp_4310_semibin_300","samp_4310","8. Ndere Island","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","UBA1268","QWPN01","",84.22,2.87,0,2.889549,313,72,11904,"QWPN01 sp._LV_4_8. Ndere Island_2022","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA,"Planctomycetaceae bacterium","PRJNA1119566","SAMN41711557",2022
"54","samp_4310_semibin_364","samp_4310","8. Ndere Island","Bacteria","Actinobacteriota","Thermoleophilia","Miltoncostaeales","Miltoncostaeaceae","SYFI01","",93.53,0.86,100,1.78898,129,71.7,19552,"SYFI01 sp._LV_4_8. Ndere Island_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711558",2022
"55","samp_4311_concoct_332","samp_4311","9. Mid Gulf","Bacteria","Bacteroidota","Bacteroidia","AKYH767-A","OLB10","CAINEC01","",78.05,2.42,12.5,2.311108,761,51.4,3793,"CAINEC01 sp._LV_5_9. Mid Gulf_2022","Bacteria","Bacteroidota",NA,NA,NA,NA,NA,"Bacteroidota bacterium","PRJNA1119566","SAMN41711559",2022
"56","samp_4311_concoct_342","samp_4311","9. Mid Gulf","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","ER46","",81.51,5.94,36.36,3.781189,1532,68.2,2803,"ER46 sp._LV_5_9. Mid Gulf_2022","Bacteria","Verrucomicrobiota","Opitutae","Opitutales","Opitutaceae",NA,NA,"Opitutaceae bacterium","PRJNA1119566","SAMN41711560",2022
"57","samp_4311_concoct_375","samp_4311","9. Mid Gulf","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","70-9","CAIUSP01","",75.65,1.32,0,1.384141,514,64,3083,"CAIUSP01 sp._LV_5_9. Mid Gulf_2022","Bacteria",NA,NA,NA,NA,NA,NA,"Unknown NA","PRJNA1119566","SAMN41711561",2022
"58","samp_4311_concoct_388","samp_4311","9. Mid Gulf","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","",90.22,0.25,100,2.430402,561,43.8,6258,"Sediminibacterium sp._LV_5_9. Mid Gulf_2022","Bacteria","Bacteroidota",NA,NA,NA,NA,NA,"Bacteroidota bacterium","PRJNA1119566","SAMN41711562",2022
"59","samp_4311_concoct_391","samp_4311","9. Mid Gulf","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","70-9","67-14","",75,2.76,25,1.53839,524,66.8,3674,"67-14 sp._LV_5_9. Mid Gulf_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711563",2022
"60","samp_4311_concoct_400","samp_4311","9. Mid Gulf","Bacteria","Bacteroidota","Bacteroidia","AKYH767-A","2013-40CM-41-45","CAINVI01","",85.99,10.08,80.95,2.726093,858,46.7,3944,"CAINVI01 sp._LV_5_9. Mid Gulf_2022","Bacteria","Bacteroidota",NA,NA,NA,NA,NA,"Bacteroidota bacterium","PRJNA1119566","SAMN41711564",2022
"61","samp_4311_metabat2_10","samp_4311","9. Mid Gulf","Bacteria","Cyanobacteria","Cyanobacteriia","PCC-6307","Cyanobiaceae","Cyanobium","",77.91,5.78,67.74,2.07705,489,63,4478,"Cyanobium sp._LV_5_9. Mid Gulf_2022","Bacteria","Cyanobacteriota",NA,NA,NA,NA,NA,"Cyanobacteriota bacterium","PRJNA1119566","SAMN41711565",2022
"62","samp_4311_semibin_196","samp_4311","9. Mid Gulf","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium","",97.11,1.02,87.5,3.568138,225,69.8,24303,"Mycobacterium sp._LV_5_9. Mid Gulf_2022","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA,"Mycobacterium sp.","PRJNA1119566","SAMN41711566",2022
"63","samp_4311_semibin_240","samp_4311","9. Mid Gulf","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","UBA3064","UBA3064 sp016868095",86.39,3.29,37.5,2.335422,367,53.3,7557,"UBA3064 sp016868095_LV_5_9. Mid Gulf_2022","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria bacterium","PRJNA1119566","SAMN41711567",2022
"64","samp_4311_VAMB_929","samp_4311","9. Mid Gulf","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","PNKF01","PNKF01 sp016871915",79.31,24.29,42.22,2.367218,1193,69.5,2479,"PNKF01 sp016871915_LV_5_9. Mid Gulf_2022","Bacteria","Gemmatimonadota",NA,NA,NA,NA,NA,"Gemmatimonadota bacterium","PRJNA1119566","SAMN41711568",2022
"65","samp_4312_concoct_385","samp_4312","9. Mid Gulf","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","ER46","",75.37,2.79,71.43,3.539754,1525,68.1,2620,"ER46 sp._LV_6_9. Mid Gulf_2022","Bacteria","Verrucomicrobiota","Opitutae","Opitutales","Opitutaceae",NA,NA,"Opitutaceae bacterium","PRJNA1119566","SAMN41711569",2022
